id,名称,name,見出し,詳細,国,住所,緯度,経度,アクセス手段,営業時間,平均予算,おススメ時期,分類,列1,料金,営業時間2,おススメ時間帯,必須アイテム（通年、夏場、冬場,持ち込み不可な物,主なアクセス方法,ツアー料金（入館料とかはこの項目,豆知識（あったら
,バッキンガム宮殿,Backingham Palace,イギリス王室,,イギリス,,51.501417,-0.14189,,,,,,,,,,,,,,
,ロンドン塔,The Tower of London,世界遺産のお城,,イギリス,,51.508179,-0.075971,,,,,,,,,,,,,,
,グリニッジ天文台,Royal Greenwich Observatory,世界の経度の基準,,イギリス,,51.476886,-0.0005,,,,,,,,,,,,,,
,ウィンザー城,Windsor Castle,イギリス王宮,,イギリス,,51.484048,-0.604424,,,,,,,,,,,,,,
,ロンドン・アイ,London Eye,世界最大規模の観覧車,,イギリス,,51.303397,-0.119522,,,,,,,,,,,,,,
,タワーブリッジ,Tower Bridge,イギリスを代表する橋,,イギリス,"Tower Bridge Rd, London SE1 2UP イギリス",51.50553,-0.075367,,,,,,,,,,,,,,
,大英博物館,The British Museum,ヨーロッパ最大の美術館,,イギリス,"Great Russell St, Bloomsbury, London WC1B 3DG イギリス",51.519453,-0.126957,,,,,,,,,,,,,,
,ローマ浴場博物館,Roman Baths Museum,芸術的な浴場を見学,,イギリス,"Abbey Churchyard, Bath BA1 1LZ イギリス",51.381119,-2.359619,,,,,,,,,,,,,,
,ヴィクトリア＆アルバート博物館,Victoria and Albert Museum,イギリス国立博物館,,イギリス,"Cromwell Rd, Knightsbridge, London SW7 2RL イギリス",51.496666,-0.172169,,,,,,,,,,,,,,
,アビーロード,Abbey Road,ビートルズでおなじみの,,イギリス,"イギリス 〒NW8 9DE London, Abbey Rd",51.532057,-0.177377,,,,,,,,,,,,,,
,キュー・ガーデンズ,Royal Botanic Gardens Kew,世界遺産の植物園,,イギリス,"イギリス 〒TW9 3AB Richmond, リッチモンド",51.475455,-0.302736,,,,,,,,,,,,,,
,クライストチャーチ,Christ Church,オックスフォードのシンボル,,イギリス,,,,,,,,,,,,,,,,,
,コッツウォルズ,Cotswold Way,絵本の世界がここに,,イギリス,,,,,,,,,,,,,,,,,
,エディンバラ城,Edinburgh Castle,スコットランドが誇る城,,イギリス,,,,,,,,,,,,,,,,,
,ストーン・ヘンジ,Stonehenge,謎に魅せられる,,イギリス,,,,,,,,,,,,,,,,,
,ナショナルギャラリー,National Galley,イギリス国立美術館,,イギリス,,,,,,,,,,,,,,,,,
